--disable-sse: [1.788252592086792, 0.2520589828491211]
--use-cc-builtins --memory-model=tso --disable-sse: [1.8161513805389404, 0.2769465446472168]
--enable-pointer-packing --disable-sse --use-cc-builtins: [1.8514366149902344, 0.2765054702758789]
--use-cc-builtins --enable-rtm --enable-pointer-packing --memory-model=tso: [1.7651760578155518, 0.2435293197631836]
--disable-double --disable-static --enable-pointer-packing: [1.7723519802093506, 0.28485989570617676]
--memory-model=tso --disable-sse --enable-pointer-packing: [1.8348619937896729, 0.25061941146850586]
--use-cc-builtins --disable-static --disable-double --enable-pointer-packing: [1.8379590511322021, 0.2643883228302002]
--disable-double --disable-sse --memory-model=tso: [1.8596599102020264, 0.26229166984558105]
--disable-static --memory-model=tso --disable-sse: [1.7817399501800537, 0.2636268138885498]
--disable-double --disable-sse --disable-static: [1.7929983139038086, 0.26784276962280273]
--disable-sse --memory-model=tso --enable-rtm: [1.814866304397583, 0.2507457733154297]
--disable-double --enable-pointer-packing --use-cc-builtins: [1.7849514484405518, 0.2920067310333252]
--disable-static --disable-double: [1.7738478183746338, 0.25948166847229004]
--enable-rtm --disable-double --use-cc-builtins --enable-pointer-packing --disable-sse: [1.8879985809326172, 0.2345106601715088]
--disable-sse --disable-static: [1.712179183959961, 0.2475440502166748]
--use-cc-builtins --enable-pointer-packing --enable-rtm --disable-sse --disable-static: [1.822096824645996, 0.25536489486694336]
--disable-static --disable-sse --enable-rtm: [1.8075730800628662, 0.2823185920715332]
--use-cc-builtins --disable-static --disable-double --disable-sse: [1.818134069442749, 0.25318169593811035]
--memory-model=tso --use-cc-builtins: [1.8086702823638916, 0.31493663787841797]
--enable-rtm --use-cc-builtins --disable-static: [1.7917068004608154, 0.2520627975463867]
Timecount: [36.1226122379303]
AvgTime: ['36.1226122379303']
