--disable-math: [117.56527781486511, 1.7819929122924805]
--disable-load-extension --scanstatus --disable-shared: [117.33347487449646, 1.9045488834381104]
--disable-load-extension --test-status --disable-readline: [116.87094306945801, 2.074613332748413]
--test-status --scanstatus --disable-json --disable-largefile: [111.80962657928467, 1.829902172088623]
--memsys5 --disable-largefile --disable-threadsafe: [116.90320324897766, 1.7394070625305176]
--fts3 --disable-readline --session --scanstatus: [130.61681365966797, 1.6543197631835938]
--disable-load-extension --disable-readline --disable-json: [114.87347388267517, 1.7063007354736328]
--geopoly --disable-largefile --disable-readline --fts3: [131.55265355110168, 1.678398609161377]
--disable-threadsafe --session --geopoly --fts3: [134.11105918884277, 1.9173698425292969]
--rtree --session --disable-shared --disable-threadsafe --disable-amalgamation: [118.0794050693512, 1.8708901405334473]
--disable-load-extension --scanstatus --rtree: [122.52773356437683, 1.895329236984253]
--disable-shared --disable-math --disable-readline --fts3: [127.62053179740906, 1.6754631996154785]
--geopoly --rtree --test-status --disable-math --scanstatus: [123.38664054870605, 1.8571727275848389]
--rtree --session --disable-json --disable-amalgamation: [111.52479553222656, 1.954038381576538]
--test-status --disable-math --fts3 --session --disable-amalgamation: [119.79661464691162, 2.180704116821289]
--session --fts3 --disable-load-extension: [127.55321407318115, 1.884997844696045]
--geopoly --disable-amalgamation --disable-largefile --disable-readline --disable-load-extension: [109.36890482902527, 1.5702190399169922]
--disable-json --geopoly --disable-readline: [113.9929883480072, 2.0774271488189697]
--disable-shared --disable-math --disable-largefile: [116.78818964958191, 1.7693679332733154]
--disable-readline --session --disable-largefile: [121.25388097763062, 1.626143217086792]
Timecount: [2403.529424905777]
AvgTime: ['2403.529424905777']
