--enable-gcov: [5.420682907104492, 2.2550954818725586]
--without-ncursesw: [10.841874361038208, 1.9470958709716797]
--without-pcre --without-ncursesw --enable-gcov: [5.4917967319488525, 2.1639597415924072]
--with-readline --with-libiconv --disable-option-checking: [10.88521671295166, 2.1329054832458496]
--without-ncursesw --disable-option-checking --with-libiconv --enable-gcov: [5.482874155044556, 2.147481679916382]
--with-libiconv --disable-option-checking --enable-gcov: [5.4726738929748535, 2.184880256652832]
--disable-option-checking --enable-gcov: [0.12083911895751953, 2.217477321624756]
--enable-gcov --with-readline: [0.10591363906860352, 2.358997106552124]
--with-ncurses --with-libiconv --enable-gcov: [0.11719417572021484, 2.2932627201080322]
--with-libiconv --without-ncursesw --enable-gcov: [5.711245536804199, 2.283905267715454]
--without-pcre --enable-gcov --with-ncurses --with-readline: [5.639856576919556, 2.232119560241699]
--disable-option-checking --with-libiconv --enable-gcov: [5.676279544830322, 2.232964515686035]
--with-ncurses --enable-gcov: [0.10348939895629883, 2.3750107288360596]
--enable-gcov --without-ncursesw --with-libiconv: [5.576217889785767, 2.4015767574310303]
--without-ncursesw --enable-gcov: [0.10625863075256348, 2.2077672481536865]
--disable-option-checking --with-libiconv --with-readline --without-ncursesw: [0.10401797294616699, 2.0546834468841553]
--without-ncursesw --with-readline --without-pcre --disable-option-checking: [11.289296627044678, 2.0234827995300293]
--with-libiconv --with-readline --with-ncurses --without-pcre: [11.515008926391602, 2.1466054916381836]
--with-libiconv --with-readline: [11.405629873275757, 2.2657907009124756]
--enable-gcov --without-ncursesw --without-pcre: [5.539323091506958, 2.2647688388824463]
Timecount: [106.60568976402283]
AvgTime: ['106.60568976402283']
