--without-ncursesw: [10.948609828948975, 2.0489695072174072]
--without-pcre --with-libiconv: [10.897502183914185, 2.0433413982391357]
--with-libiconv --with-ncurses --enable-gcov --disable-option-checking --without-ncursesw: [5.480689287185669, 2.1639342308044434]
--with-libiconv --with-ncurses --disable-option-checking: [10.88965106010437, 2.1326611042022705]
--enable-gcov --with-libiconv --with-readline: [0.09633731842041016, 2.1537024974823]
--without-ncursesw --disable-option-checking: [10.931808710098267, 2.0572350025177]
--disable-option-checking --with-readline --enable-gcov: [5.344161510467529, 2.202634334564209]
--with-readline --disable-option-checking --without-ncursesw: [10.849657535552979, 2.064138650894165]
--with-readline --with-ncurses: [10.881007432937622, 2.1625852584838867]
--with-libiconv --enable-gcov --with-readline: [0.08400893211364746, 2.281435966491699]
--disable-option-checking --without-ncursesw --with-readline --enable-gcov: [5.3547751903533936, 2.0341708660125732]
--disable-option-checking --with-readline --with-libiconv: [10.852839946746826, 2.040804862976074]
--enable-gcov --without-pcre --disable-option-checking --without-ncursesw --with-libiconv: [5.404835939407349, 2.091840982437134]
--with-readline --with-libiconv: [10.880749702453613, 2.0951173305511475]
--without-ncursesw --with-readline --disable-option-checking: [10.99099588394165, 2.044588327407837]
--enable-gcov --with-readline: [5.409435272216797, 2.276698112487793]
--with-libiconv --without-pcre --without-ncursesw: [10.863864183425903, 2.0929274559020996]
--with-readline --with-ncurses --with-libiconv: [10.887713193893433, 2.024684190750122]
--without-ncursesw --with-readline: [10.966740131378174, 2.1501505374908447]
--enable-gcov --without-ncursesw: [0.1209108829498291, 2.1327035427093506]
Timecount: [158.13629412651062]
AvgTime: ['158.13629412651062']
