--without-pcre: [10.938762426376343, 1.9729328155517578]
--with-ncurses --without-pcre --disable-option-checking --enable-gcov: [0.10617828369140625, 2.20349383354187]
--enable-gcov --without-ncursesw --with-readline --disable-option-checking --without-pcre: [5.489831209182739, 1.9921033382415771]
--disable-option-checking --enable-gcov --with-libiconv: [5.431707143783569, 2.1258792877197266]
--with-readline --without-ncursesw --enable-gcov: [5.364916086196899, 2.1404144763946533]
--with-ncurses --with-readline --with-libiconv: [10.952597379684448, 2.099457025527954]
--disable-option-checking --with-readline: [0.09770607948303223, 2.0290756225585938]
--with-readline --without-ncursesw --with-libiconv --enable-gcov: [5.471215724945068, 2.0989272594451904]
--enable-gcov --with-libiconv --with-ncurses: [5.454230308532715, 2.128654718399048]
--without-pcre --with-libiconv: [10.952410697937012, 2.0711934566497803]
--disable-option-checking --without-ncursesw --without-pcre: [10.928912162780762, 1.9948740005493164]
--with-ncurses --with-readline --enable-gcov: [5.3254640102386475, 2.261826992034912]
--with-libiconv --without-ncursesw --with-readline: [10.934578657150269, 2.0895791053771973]
--without-pcre --enable-gcov: [5.365394115447998, 2.0813381671905518]
--without-pcre --with-ncurses --with-libiconv --enable-gcov --with-readline: [0.10880470275878906, 2.1759448051452637]
--disable-option-checking --with-ncurses --with-readline --without-pcre: [0.09191322326660156, 2.020641565322876]
--disable-option-checking --with-ncurses --without-ncursesw: [10.97826623916626, 2.076054334640503]
--with-libiconv --with-readline: [10.969480276107788, 2.157249927520752]
--without-pcre --without-ncursesw --with-libiconv: [10.911733627319336, 1.9226677417755127]
--without-ncursesw --without-pcre --disable-option-checking: [0.08262801170349121, 1.9984326362609863]
Timecount: [125.95673036575317]
AvgTime: ['125.95673036575317']
