--with-selinux: [9.51643419265747, 0.08530879020690918]
--config-predefs=no --config-bcheck=no --disable-static --disable-rpath: [8.891208171844482, 0.08718132972717285]
--enable-cross --config-codesign=no --config-bcheck=no --with-libgcc --config-new_dtags=yes: [105.50602650642395, 0.0881812572479248]
--config-bcheck=no --disable-rpath --enable-cross --config-codesign=no: [105.5005054473877, 0.08141326904296875]
--disable-rpath --disable-static --debug: [10.837523937225342, 0.0921485424041748]
--disable-static --config-mingw32=no: [0.014566898345947266, 0.09112191200256348]
--debug --disable-rpath --config-new_dtags=yes --enable-cross: [133.6733694076538, 0.07436466217041016]
--config-codesign=no --disable-static: [9.036697149276733, 0.07941102981567383]
--debug --config-backtrace=no --enable-static: [10.947069883346558, 0.07267475128173828]
--config-bcheck=no --disable-static --debug --disable-rpath: [10.591833591461182, 0.0766594409942627]
--disable-static --config-new_dtags=yes: [9.117075681686401, 0.08867478370666504]
--config-bcheck=no --config-codesign=no --with-libgcc --config-mingw32=no --enable-static: [9.312361717224121, 0.07309341430664062]
--config-new_dtags=yes --config-codesign=no --with-selinux --config-backtrace=no --config-mingw32=no: [8.969508171081543, 0.07528305053710938]
--debug --config-mingw32=no --config-codesign=no --enable-cross: [133.06957125663757, 0.07212996482849121]
--debug --config-predefs=no --config-new_dtags=yes --config-mingw32=no: [11.368837833404541, 0.08730387687683105]
--config-mingw32=no --with-selinux --debug --disable-rpath: [11.553281545639038, 0.07537698745727539]
--with-selinux --debug --enable-static --with-libgcc --config-bcheck=no: [11.260322093963623, 0.07458353042602539]
--config-bcheck=no --disable-rpath --config-mingw32=no: [9.233189105987549, 0.07865571975708008]
--config-backtrace=no --config-new_dtags=yes --enable-cross --enable-static: [104.9558174610138, 0.07239198684692383]
--config-codesign=no --config-mingw32=no: [9.400734424591064, 0.09058117866516113]
Timecount: [722.7559344768524]
AvgTime: ['722.7559344768524']
