--disable-thread: [134.93737149238586, 1.463979959487915]
--enable-debug --disable-bashcompletion --enable-static: [48.58383917808533, 1.552506685256958]
--enable-strip --enable-lto --disable-avs --enable-static: [79.89344573020935, 1.8684072494506836]
--disable-avs --enable-debug: [48.44466972351074, 1.5578796863555908]
--enable-lto --disable-bashcompletion --disable-lavf: [80.01911807060242, 1.8855531215667725]
--disable-avs --disable-lavf --enable-gprof --enable-static: [73.19697880744934, 1.5274124145507812]
--disable-avs --enable-gprof --enable-strip: [73.1058828830719, 1.5695209503173828]
--enable-lto --disable-thread --enable-debug: [47.56770038604736, 1.4744153022766113]
--enable-lto --disable-bashcompletion --enable-static --disable-lavf --disable-avs: [80.67611479759216, 1.7799839973449707]
--enable-strip --enable-gprof: [72.90210914611816, 1.5493223667144775]
--disable-thread --enable-gprof --disable-bashcompletion --enable-debug --enable-static: [47.95837163925171, 1.4856617450714111]
--enable-lto --enable-strip --disable-opencl --disable-thread: [78.82694482803345, 1.7372026443481445]
--disable-avs --enable-debug --enable-strip --enable-gprof --enable-lto: [48.274524211883545, 1.5430467128753662]
--enable-strip --enable-lto --disable-thread: [80.42974734306335, 1.9060685634613037]
--enable-lto --enable-static: [79.87290740013123, 2.032585859298706]
--disable-thread --enable-static --disable-lavf --enable-strip: [70.9974684715271, 1.406857967376709]
--disable-avs --enable-strip --enable-gprof: [73.06052255630493, 1.584742546081543]
--disable-bashcompletion --enable-debug --disable-lavf --enable-lto: [48.915276765823364, 1.5677273273468018]
--enable-gprof --disable-bashcompletion --enable-static: [73.62197232246399, 1.5069425106048584]
--disable-lavf --disable-avs --disable-bashcompletion --enable-lto --enable-static: [79.19194507598877, 1.793409824371338]
Timecount: [1420.476910829544]
AvgTime: ['1420.476910829544']
